id,text,category,created_at,used_count,last_used
1,Why's Bitcoin so private? It doesn't share its private keys! 🔐,humor,2025-04-14T12:40:04.564423,0,
2,What do you call a Bitcoin investor? HODLer of last resort! 💼,humor,2025-04-14T12:40:04.573683,0,
3,Why is BTC so volatile? It's got commitment issues! 📊,humor,2025-04-14T12:40:04.586754,0,
4,Why did the Bitcoin go to therapy? It had too many emotional rollercoasters! 🎢,humor,2025-04-14T12:40:04.599018,0,
5,Why don't Bitcoin and banks get along? They have trust issues! 🏦,humor,2025-04-14T12:40:04.610798,0,
6,What did the Bitcoin say to the traditional investor? 'Have fun staying poor!' 💰,humor,2025-04-14T12:40:04.623858,1,2025-04-14T12:42:37.493130
7,What's a Bitcoin's favorite game? Hide and Seek - with your savings! 🙈,humor,2025-04-14T12:40:04.635314,0,
8,What do you call a crypto trader with paper hands? Broke! 📉,humor,2025-04-14T12:40:04.641896,0,
9,Why did the crypto investor never get any sleep? Because gains never sleep! 😴,humor,2025-04-14T12:40:04.663283,0,
10,"How many Bitcoin maxis does it take to change a lightbulb? None, they're still using candles because they're off the grid! 🕯️",humor,2025-04-14T12:40:04.678613,0,
